periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_10
2022-09-18,211,212,114,205,159,426,347,281,625,382,229,3191
2022-09-25,196,146,111,181,101,279,332,301,633,287,183,2750
2022-10-02,210,151,122,237,158,342,295,315,693,292,214,3029
2022-10-09,176,147,91,244,173,343,308,226,649,325,214,2896
2022-10-16,202,143,124,257,103,404,376,275,689,303,203,3079
2022-10-23,176,144,135,209,208,373,365,287,761,296,282,3236
2022-10-30,153,154,98,273,229,450,306,269,673,261,242,3108
2022-11-06,160,157,127,261,165,427,380,227,570,251,226,2951
2022-11-13,234,174,138,215,198,449,320,257,614,260,232,3091
2022-11-20,158,202,110,224,174,360,303,184,537,260,182,2694
2022-11-27,187,170,77,205,158,375,263,201,565,265,189,2655
2022-12-04,164,167,104,201,132,369,200,182,521,221,160,2421
2022-12-11,232,186,88,217,83,339,194,190,520,214,163,2426
2022-12-18,170,146,77,178,84,333,173,187,441,167,206,2162
2022-12-25,190,144,81,163,85,344,189,206,449,204,144,2199
