periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_Mean_20
2021-05-30,357.0,244.702564102564,139.239896897726,228.0,188.0,391.0,326.701421800948,415.0,696.139303482587,402.0,262.604761904762,3650.387948188587
2021-06-06,364.0,244.702564102564,100.0,297.0,265.435643564356,425.920187793427,332.0,336.0,696.139303482587,378.0,313.0,3752.197698942934
2021-06-13,309.0,330.0,144.0,219.0,265.435643564356,544.0,326.701421800948,365.0,696.139303482587,424.0,273.0,3896.276368847891
2021-06-20,292.0,244.702564102564,134.0,289.0,308.0,498.0,305.0,414.0,588.0,369.0,262.604761904762,3704.307326007326
2021-06-27,311.0,211.0,94.0,275.0,286.0,525.0,326.701421800948,358.0,618.0,366.0,255.0,3625.701421800948
2021-07-04,246.936893203883,148.0,100.0,237.0,265.435643564356,431.0,326.701421800948,337.0,550.0,318.0,262.604761904762,3222.6787204739494
2021-07-11,231.0,172.0,120.0,227.815668202765,203.0,446.0,292.0,295.0,473.0,306.0,245.0,3010.8156682027648
2021-07-18,294.0,191.0,139.239896897726,255.0,187.0,423.0,285.0,349.734299516908,499.0,319.0,232.0,3173.9741964146338
2021-07-25,301.0,190.0,122.0,253.0,202.0,426.0,349.0,349.734299516908,571.0,268.0,262.604761904762,3294.3390614216696
2021-08-01,269.0,206.0,90.0,182.0,265.435643564356,444.0,360.0,349.734299516908,650.0,352.0,243.0,3411.169943081264
2021-08-08,262.0,203.0,67.0,227.815668202765,163.0,430.0,374.0,349.734299516908,636.0,398.0,243.0,3353.549967719673
2021-08-15,246.936893203883,240.0,119.0,257.0,191.0,441.0,314.0,365.0,646.0,389.0,247.0,3455.936893203883
2021-08-22,228.0,257.0,111.0,309.0,265.435643564356,417.0,326.701421800948,354.0,705.0,343.0,285.0,3601.137065365304
2021-08-29,213.0,188.0,68.0,257.0,265.435643564356,393.0,246.0,369.0,864.0,359.0,262.604761904762,3485.040405469118
2021-09-05,216.0,236.0,97.0,224.0,191.0,408.0,319.0,322.0,930.0,293.333333333333,258.0,3494.333333333333
2021-09-12,246.936893203883,212.0,105.0,324.0,318.0,450.0,349.0,414.0,696.139303482587,293.333333333333,278.0,3686.409530019803
2021-09-19,186.0,220.0,80.0,366.0,367.0,425.920187793427,403.0,393.0,1054.0,370.0,353.0,4217.9201877934265
2021-09-26,188.0,266.0,139.239896897726,227.815668202765,436.0,577.0,403.0,349.734299516908,959.0,380.0,317.0,4242.789864617399
2021-10-03,247.0,244.702564102564,150.0,449.0,498.0,621.0,447.0,519.0,696.139303482587,381.0,334.0,4586.841867585151
